"","name","V1","circuit.1","child","girls","sons","woman","age","yearb","race","religion","republican","songerID","progressive.vote","no_cases"
"137","McMillian, Theodore",148,8,2,2,0,0,59,1919,2,4,0,820,0.435897435897436,39
"138","McWilliams, Robert H.",149,10,1,0,1,0,54,1916,1,2,1,1019,0.384615384615385,13
"139","Melloy, Michael",150,8,3,3,0,0,NA,NA,NA,NA,1,845,0.5,2
"140","Merritt, Gilbert S.",151,6,3,1,2,0,41,1936,1,2,0,629,0.588235294117647,17
"141","Meskill, Thomas J.",152,2,4,2,2,0,47,1928,1,4,1,224,0.142857142857143,7
"142","Michael, M. Blane",153,4,1,1,0,0,NA,1943,1,8,0,432,0.615384615384615,13
"143","Miner, Roger J.",154,2,4,0,4,0,51,1934,1,5,1,225,0.571428571428571,7
"144","Moore, Karen",155,6,3,1,2,1,47,1948,1,1,0,649,0.5,16
"145","Motz, Diana Gribbon",156,4,2,1,1,1,NA,1943,1,4,0,433,0.5,10
"146","Murnaghan, Francis D.",157,4,3,2,1,0,59,1920,1,4,0,412,0.714285714285714,8
"147","Murphy, Diana E.",158,8,2,0,2,1,NA,1934,1,4,0,842,0.586206896551724,29
"148","Murphy, Michael",159,10,2,1,1,0,48,1947,1,4,0,1033,0.541666666666667,24
"149","Nelson, David A.",160,6,3,1,2,0,53,1932,1,9,1,634,0.25,4
"150","Nelson, Dorothy Wright",161,9,2,1,1,1,51,1928,1,16,0,943,0.666666666666667,3
