"V1","girls","sons","woman","child","race","republican","circuit","circuit.1","age","religion","yearb","songerID","year","source1","source2","area","z","vote"
1671,2,1,0,3,1,1,"3",3,50,4,1923,338,2000,13,14,"reproductive rights",1,2
4170,2,1,0,3,1,1,"3",3,50,4,1923,338,2002,13,14,"employment",1,1
179,1,1,0,2,1,1,"3",3,40,4,1950,340,2000,13,14,"employment",1,2
1248,1,1,0,2,1,1,"3",3,40,4,1950,340,2002,13,14,"employment",1,1
1640,1,1,0,2,1,1,"3",3,40,4,1950,340,2000,13,14,"employment",1,2
1658,1,1,0,2,1,1,"3",3,40,4,1950,340,1997,13,14,"employment",1,1
1672,1,1,0,2,1,1,"3",3,40,4,1950,340,1997,13,14,"reproductive rights",1,1
3115,1,1,0,2,1,1,"3",3,40,4,1950,340,1997,13,14,"employment",1,2
171,1,1,1,2,1,1,"3",3,56,2,1935,341,2002,13,14,"employment",1,1
212,1,1,1,2,1,1,"3",3,56,2,1935,341,2000,13,14,"reproductive rights",1,2
1251,1,1,1,2,1,1,"3",3,56,2,1935,341,2002,13,14,"employment",1,1
1644,1,1,1,2,1,1,"3",3,56,2,1935,341,1999,13,14,"employment",1,1
1645,1,1,1,2,1,1,"3",3,56,2,1935,341,1999,13,14,"employment",1,1
1647,1,1,1,2,1,1,"3",3,56,2,1935,341,1999,13,14,"employment",1,3
1651,1,1,1,2,1,1,"3",3,56,2,1935,341,1997,13,14,"employment",1,2
1652,1,1,1,2,1,1,"3",3,56,2,1935,341,1997,13,14,"employment",1,3
1660,1,1,1,2,1,1,"3",3,56,2,1935,341,1997,13,14,"employment",1,1
1662,1,1,1,2,1,1,"3",3,56,2,1935,341,1997,13,14,"employment",1,1
3110,1,1,0,2,NA,1,"3",NA,NA,NA,NA,342,1997,NA,NA,"employment",1,2
3120,1,1,0,2,NA,1,"3",NA,NA,NA,NA,342,1997,NA,NA,"employment",1,3
1630,2,0,0,2,2,0,"3",3,NA,99,1947,343,2002,13,14,"employment",1,3
1634,2,0,0,2,2,0,"3",3,NA,99,1947,343,2002,13,14,"employment",1,3
1638,2,0,0,2,2,0,"3",3,NA,99,1947,343,2000,13,14,"employment",1,2
1653,2,0,0,2,2,0,"3",3,NA,99,1947,343,1997,13,14,"pregnancy",1,1
1655,2,0,0,2,2,0,"3",3,NA,99,1947,343,1997,13,14,"employment",1,3
1673,2,0,0,2,2,0,"3",3,NA,99,1947,343,1997,13,14,"pregnancy",1,1
