name,z,circuit,child,girls,sons,woman,age,race,religion,republican,songerID,no_cases,agemiss,religmiss,racemiss,race.0,race.1,race.2,race.3,race.4,religion.0,religion.1,religion.10,religion.2,religion.3,religion.4,religion.5,religion.7,religion.8,religion.9,religion.99,circuit.1,circuit.10,circuit.11,circuit.12,circuit.2,circuit.3,circuit.4,circuit.5,circuit.6,circuit.7,circuit.8,circuit.9,pscore,matches
"Contie, Leroy J.",1,6,2,1,1,0,56,1,4,1,609,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.81316885643162,
"Cowen, Robert E.",1,3,2,2,0,0,57,1,5,1,308,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.737406676428691,1.13
"Cox, Emmett R.",1,11,2,1,1,0,53,1,2,1,1103,14,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.817965483185577,1.5
"Cudahy, Richard D.",1,7,7,4,3,0,53,1,4,0,706,21,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.857357873879872,
"Cummings, Walter",0,7,3,0,3,0,50,1,4,0,707,11,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.914121705735965,1.24
"Cyr, Conrad F.",0,1,2,0,2,0,58,1,4,1,118,10,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.672254782413902,1.25
"Daughtrey, Martha Craig",1,6,1,1,0,1,0,1,2,0,648,16,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.479698118436519,1.7
"DeMoss, Harold R., Jr.",1,5,2,1,1,0,61,1,2,1,563,10,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.681997785982519,1.4
"Dennis, James",0,5,2,0,2,0,52,1,3,1,570,7,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.808719830025241,1.26
"Dubina, Joel F.",1,11,3,1,2,0,43,1,7,1,1120,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.931509615977451,
"Duhe, John M.",1,5,4,2,2,0,55,1,4,1,561,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.785713254926958,1.9
"Ebel, David M.",1,10,4,2,2,0,48,1,7,1,1009,28,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.791702072961737,
"Edmondson, James L.",1,11,2,2,0,0,39,1,2,1,1105,8,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.928218989274092,
"Edwards, Harry T.",1,12,2,1,1,0,40,2,8,0,1212,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.999999994535904,
"Engel, Albert J.",1,6,4,2,2,0,49,1,2,1,613,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.864564670979808,
"Ervin, Samuel J., III",1,4,4,2,2,0,54,1,7,0,408,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.914654671733108,
"Eschbach, Jesse E.",1,7,2,1,1,0,61,1,7,1,710,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.787445128502044,1.28
"Evans, Terence",1,7,3,2,1,0,55,1,4,0,742,33,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.768765136604976,
"Fagg, George B.",1,8,6,3,3,0,48,1,10,1,809,30,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.770701976487595,1.20
"Fairchild, Thomas",1,7,4,2,2,0,54,1,9,0,712,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.936590828200841,
"Farris, Joseph Jerome",1,9,2,2,0,0,49,2,8,0,917,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.999999990588597,
"Fay, Peter T.",0,5,2,0,2,0,47,1,4,1,515,8,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.849150922880652,1.27
"Feinberg, Wilfred",1,2,3,2,1,0,46,1,5,0,206,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.924961967264684,
"Ferguson, Warren J.",1,9,4,2,2,0,59,1,4,0,919,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.908728541986725,
"Fisher, Raymond",1,9,2,1,1,0,0,0,0,0,985,6,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.83175713264505,
"Flaum, Joel M.",1,7,2,1,1,0,47,1,5,1,715,32,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.72195469850371,1.21
"Fletcher, Betty B.",1,9,4,2,2,0,56,1,8,0,920,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.917474289025282,
"Fuentes, Julio",1,3,3,3,0,0,0,0,0,0,347,3,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.783665490033065,1.16
"Garland, Merrick",1,12,2,2,0,0,0,0,0,0,1253,6,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.859724881693343,
